itl1,code,name
TLC,TLC1,Tees Valley and Durham
TLD,TLD7,Merseyside
TLD,TLD6,Cheshire
TLD,TLD4,Lancashire
TLE,TLE1,East Yorkshire and Northern Lincolnshire
TLE,TLE2,North Yorkshire
TLF,TLF1,Derbyshire and Nottinghamshire
TLF,TLF2,"Leicestershire, Rutland and Northamptonshire"
TLG,TLG1,"Herefordshire, Worcestershire and Warwickshire"
TLG,TLG2,Shropshire and Staffordshire
TLK,TLK1,"Gloucestershire, Wiltshire and Bath/Bristol area"
TLK,TLK4,Devon
TLH,TLH1,East Anglia
TLH,TLH2,Bedfordshire and Hertfordshire
TLH,TLH3,Essex
TLJ,TLJ4,Kent
TLJ,TLJ1,"Berkshire, Buckinghamshire and Oxfordshire"
TLJ,TLJ2,"Surrey, East and West Sussex"
TLJ,TLJ3,Hampshire and Isle of Wight
TLK,TLK3,Cornwall and Isles of Scilly
TLC,TLC2,"Northumberland, and Tyne and Wear"
TLK,TLK2,Dorset and Somerset
TLD,TLD1,Cumbria
TLF,TLF3,Lincolnshire
TLD,TLD3,Greater Manchester
TLE,TLE3,South Yorkshire
TLG,TLG3,West Midlands
TLE,TLE4,West Yorkshire
TLI,TLI3,Inner London - West
TLI,TLI5,Outer London - East and North East
TLI,TLI7,Outer London - West and North West
TLI,TLI6,Outer London - South
TLI,TLI4,Inner London - East
TLN,TLN0,Northern Ireland
TLM,TLM7,Eastern Scotland
TLM,TLM9,Southern Scotland
TLM,TLM8,West Central Scotland
TLM,TLM5,North Eastern Scotland
TLM,TLM6,Highlands and Islands
TLL,TLL1,West Wales and The Valleys
TLL,TLL2,East Wales
